Update Time,Source,Update Time (Et),Last Check,Checker,DC,Total,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown,% Unk.,Known Hispanic,Known Non-Hispanic,Unknown,% Unk.,Total,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown,% Unk.,Known Hispanic,Known Non-Hispanic,Unknown,% Unk.,Known White ,Known Black ,Known LatinX / Hispanic,Known Asian,Known AIAN,Known NHPI,Known Multiracial ,Other,Unknown,% Unk.,Known Hispanic,Known Non-Hispanic,Unknown,% Unk.,,,,,,,,,,,,,,,,,,,
20200603,LA,,,6/01 0:00,6/3 23:24,RDB,RV,41133,,,,,,,,,41133,100%,,,,,2870,1217,1510,,21,1,2,,18,101,4%,53,2392,425,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MA,,,6/03 10:00,6/3 23:28,TA,RV,101592,26921,9244,18692,1930,,,,4673,40128,40%,18692,42768,40128,40%,7152,2989,350,464,128,,,,228,2982,42%,464,3695,2982,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MD,,,6/03 10:00,6/3 23:38,RDB,SB,54982,10757,15856,14155,1048,,,,2765,10401,19%,14155,30426,10401,19%,2641,1118,1085,245,104,,,,33,56,2%,245,2340,56,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,ME,,,6/03 12:45,6/3 22:24,TA,RV,2418,1459,453,,35,4,,11,49,407,17%,65,1740,613,25%,95,,,,,,,,,95,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MI,,,6/03 15:00,6/3 22:30,TA,SPA,58035,21472,17990,,1160,290,,4062,2901,9285,16%,4062,36562,17410,30%,5570,2840,2228,,55,27,,111,111,222,4%,111,4567,891,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MN,,,6/03 12:00,6/3 22:40,TA,SPA,25870,8995,5797,,1582,208,44,505,3185,5554,21%,5254,14535,6081,24%,1086,665,66,,30,13,1,6,8,307,28%,26,704,356,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MO,,,6/03 15:00,6/3 22:54,TA,SPA,13767,5884,4299,,,,,331,846,2396,17%,1166,9109,3491,25%,786,452,276,,,,,6,19,30,4%,16,672,96,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MP,,,6/03 0:00,6/3 22:58,TA,SPA,24,,,,,,,,,24,100%,,,,,2,,,,,,,,,2,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MS,,,6/02 19:00,6/3 23:06,TA,BL,16322,4570,8805,923,57,772,,,527,668,4%,923,12834,2565,16%,782,333,401,10,0,33,,,3,2,0%,10,733,39,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200603,MT,,,5/29 0:00,6/3 23:20,IR,BL,525,446,2,,1,58,,,4,14,3%,25,470,30,6%,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
